Spellbook,Level,School,Spell,Copied By
The Apotheosis Codex,1,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:absorb-elements"",""Absorb Elements"")",
The Apotheosis Codex,1,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:alarm"",""Alarm"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:burning-hands"",""Burning Hands"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:catapult"",""Catapult"")",
The Apotheosis Codex,1,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:cause-fear"",""Cause Fear"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:charm-person"",""Charm Person"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:chromatic-orb"",""Chromatic Orb"")",
The Apotheosis Codex,1,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:color-spray"",""Color Spray"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:comprehend-languages"",""Comprehend Languages"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:detect-magic"",""Detect Magic"")",
The Apotheosis Codex,1,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:disguise-self"",""Disguise Self"")",
The Apotheosis Codex,1,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:distort-value"",""Distort Value"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:earth-tremor"",""Earth Tremor"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:expeditious-retreat"",""Expeditious Retreat"")",
The Apotheosis Codex,1,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:false-life"",""False Life"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:feather-fall"",""Feather Fall"")",
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:find-familiar"",""Find Familiar"")",
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:fog-cloud"",""Fog Cloud"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:frost-fingers"",""Frost Fingers"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:gift-of-alacrity"",""Gift of Alacrity"")",
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:grease"",""Grease"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:guiding-hand"",""Guiding Hand"")",
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:healing-elixir"",""Healing Elixir"")",
